Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1.CheckInternalLink,Chrome 88.0.4324.190,,,2021-03-09 19:34:08,2021-03-09 19:35:21,1m - 12.792s,PASSED
,,,,,,,
Test Cases/1.CheckInternalLink/TC-Link-001,Chrome 88.0.4324.190,Menu Link,Menu,2021-03-09 19:34:10,2021-03-09 19:34:29,19.471s,PASSED
"openBrowser(""https://www.banatbar.rs/en/"")",Chrome 88.0.4324.190,,,2021-03-09 19:34:11,2021-03-09 19:34:20,9.277s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:34:20,2021-03-09 19:34:22,2.126s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:34:22,2021-03-09 19:34:22,0.246s,PASSED
"click(findTestObject(""NavigationBar/Menu""))",Chrome 88.0.4324.190,,,2021-03-09 19:34:22,2021-03-09 19:34:26,3.155s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:34:26,2021-03-09 19:34:26,0.044s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:34:26,2021-03-09 19:34:28,2.075s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:34:28,2021-03-09 19:34:29,1.470s,PASSED
,,,,,,,
Test Cases/1.CheckInternalLink/TC-Link-002,Chrome 88.0.4324.190,FoodDelivery Link,FoodDelivery,2021-03-09 19:34:29,2021-03-09 19:34:42,12.264s,PASSED
"openBrowser(""https://www.banatbar.rs/en/"")",Chrome 88.0.4324.190,,,2021-03-09 19:34:30,2021-03-09 19:34:36,5.637s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:34:36,2021-03-09 19:34:36,0.050s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:34:36,2021-03-09 19:34:36,0.293s,PASSED
"click(findTestObject(""NavigationBar/FoodDelivery""))",Chrome 88.0.4324.190,,,2021-03-09 19:34:36,2021-03-09 19:34:39,2.555s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:34:39,2021-03-09 19:34:39,0.030s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:34:39,2021-03-09 19:34:41,2.006s,PASSED
