Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.ContactUsPage,Chrome 88.0.4324.190,,,2021-03-09 19:35:44,2021-03-09 19:39:36,3m - 51.956s,FAILED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-006,Chrome 88.0.4324.190,Corect data input,correct,2021-03-09 19:35:46,2021-03-09 19:36:39,53.533s,FAILED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:35:47,2021-03-09 19:35:54,7.699s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:35:54,2021-03-09 19:35:56,1.538s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:35:56,2021-03-09 19:35:56,0.264s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:35:56,2021-03-09 19:35:59,2.699s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/Name-Input""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:35:59,2021-03-09 19:36:00,0.607s,PASSED
"setText(findTestObject(""ContactUsPage/Name-Input""), Name)",Chrome 88.0.4324.190,,,2021-03-09 19:36:00,2021-03-09 19:36:00,0.853s,PASSED
"setText(findTestObject(""ContactUsPage/Email-Input""), Email)",Chrome 88.0.4324.190,,,2021-03-09 19:36:00,2021-03-09 19:36:03,2.410s,PASSED
"setText(findTestObject(""ContactUsPage/TextBox-Input""), TextBox)",Chrome 88.0.4324.190,,,2021-03-09 19:36:03,2021-03-09 19:36:04,0.848s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:36:04,2021-03-09 19:36:06,2.053s,PASSED
"click(findTestObject(""ContactUsPage/SubmitBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:36:06,2021-03-09 19:36:06,0.646s,PASSED
"verifyElementText(findTestObject(""ContactUsPage/Captcha""), ""Captcha je obavezna."")",Chrome 88.0.4324.190,,,2021-03-09 19:36:06,2021-03-09 19:36:39,32.977s,FAILED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-007,Chrome 88.0.4324.190,Wait 2 minutes after ticking a recaptcha,Wait 2,2021-03-09 19:36:39,2021-03-09 19:36:57,18.053s,PASSED
