Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.TableReservationPage,Chrome 88.0.4324.190,,,2021-03-09 19:41:12,2021-03-09 19:42:46,1m - 33.789s,FAILED
,,,,,,,
Test Cases/3.TableReservationPage/TC-TableReservation-017,Chrome 88.0.4324.190,Test 'Table Reservation' page functionality,Reservation,2021-03-09 19:41:13,2021-03-09 19:42:19,1m - 5.303s,FAILED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:41:14,2021-03-09 19:41:21,6.312s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:41:21,2021-03-09 19:41:22,1.151s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:41:22,2021-03-09 19:41:22,0.226s,PASSED
"click(findTestObject(""NavigationBar/TableReservation""))",Chrome 88.0.4324.190,,,2021-03-09 19:41:22,2021-03-09 19:41:23,0.585s,PASSED
"waitForElementVisible(findTestObject(""NavigationBar/iFrame-TableReservation""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:41:23,2021-03-09 19:41:46,23.162s,PASSED
"switchToFrame(findTestObject(""NavigationBar/iFrame-TableReservation""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:41:46,2021-03-09 19:41:46,0.498s,PASSED
"selectOptionByIndex(findTestObject(""ReservationTable/NumberOfPeople""), 2)",Chrome 88.0.4324.190,,,2021-03-09 19:41:46,2021-03-09 19:42:19,32.492s,FAILED
,,,,,,,
Test Cases/3.TableReservationPage/TC-TableReservation-018,Chrome 88.0.4324.190,Test 'TableReservation' page functionality,Table Reservation,2021-03-09 19:42:19,2021-03-09 19:42:46,26.914s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:42:19,2021-03-09 19:42:25,5.762s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:42:25,2021-03-09 19:42:25,0.077s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:42:25,2021-03-09 19:42:26,0.230s,PASSED
"click(findTestObject(""NavigationBar/TableReservation""))",Chrome 88.0.4324.190,,,2021-03-09 19:42:26,2021-03-09 19:42:26,0.578s,PASSED
"waitForElementVisible(findTestObject(""NavigationBar/iFrame-TableReservation""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:42:26,2021-03-09 19:42:32,5.510s,PASSED
"switchToFrame(findTestObject(""NavigationBar/iFrame-TableReservation""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:42:32,2021-03-09 19:42:32,0.504s,PASSED
"selectOptionByIndex(findTestObject(""ReservationTable/NumberOfPeople""), 2)",Chrome 88.0.4324.190,,,2021-03-09 19:42:32,2021-03-09 19:42:33,0.617s,PASSED
"selectOptionByLabel(findTestObject(""ReservationTable/Date""), ""tomorrow"", false)",Chrome 88.0.4324.190,,,2021-03-09 19:42:33,2021-03-09 19:42:33,0.353s,PASSED
"selectOptionByLabel(findTestObject(""ReservationTable/Time""), ""07:45"", false)",Chrome 88.0.4324.190,,,2021-03-09 19:42:33,2021-03-09 19:42:33,0.322s,PASSED
"click(findTestObject(""ReservationTable/Next""))",Chrome 88.0.4324.190,,,2021-03-09 19:42:33,2021-03-09 19:42:34,0.339s,PASSED
delay(3),Chrome 88.0.4324.190,,,2021-03-09 19:42:34,2021-03-09 19:42:37,3.082s,PASSED
"click(findTestObject(""ReservationTable/AddDetails""))",Chrome 88.0.4324.190,,,2021-03-09 19:42:37,2021-03-09 19:42:37,0.260s,PASSED
"waitForElementVisible(findTestObject(""ReservationTable/FirstName""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:42:37,2021-03-09 19:42:38,1.008s,PASSED
"setText(findTestObject(""ReservationTable/FirstName""), Name)",Chrome 88.0.4324.190,,,2021-03-09 19:42:38,2021-03-09 19:42:38,0.371s,PASSED
"setText(findTestObject(""ReservationTable/LastName""), LastName)",Chrome 88.0.4324.190,,,2021-03-09 19:42:38,2021-03-09 19:42:39,0.330s,PASSED
"setText(findTestObject(""ReservationTable/E-mail""), Email)",Chrome 88.0.4324.190,,,2021-03-09 19:42:39,2021-03-09 19:42:39,0.545s,PASSED
"setText(findTestObject(""ReservationTable/Phone""), Phone)",Chrome 88.0.4324.190,,,2021-03-09 19:42:39,2021-03-09 19:42:40,0.622s,PASSED
"click(findTestObject(""ReservationTable/SaveBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:42:40,2021-03-09 19:42:40,0.336s,PASSED
"click(findTestObject(""ReservationTable/PlaceTableReservationNow""))",Chrome 88.0.4324.190,,,2021-03-09 19:42:40,2021-03-09 19:42:42,1.285s,PASSED
delay(3),Chrome 88.0.4324.190,,,2021-03-09 19:42:42,2021-03-09 19:42:45,3.011s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:42:45,2021-03-09 19:42:46,1.029s,PASSED
