Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5.CartPersonalInfo,Chrome 88.0.4324.190,,,2021-03-09 19:47:16,2021-03-09 19:48:50,1m - 33.907s,PASSED
,,,,,,,
Test Cases/5.CartPersonalInfo/TC-Cart-022,Chrome 88.0.4324.190,Personal info: Name is writen with numbers and special caracters,First Name invalid,2021-03-09 19:47:17,2021-03-09 19:47:43,25.519s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:47:18,2021-03-09 19:47:25,6.381s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:47:25,2021-03-09 19:47:26,0.935s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:47:26,2021-03-09 19:47:26,0.197s,PASSED
"click(findTestObject(""NavigationBar/SeeMenuAndOrder""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:26,2021-03-09 19:47:26,0.604s,PASSED
"waitForElementVisible(findTestObject(""SeeMenuAndOrder/iFrame-SeeMenuAndOrder""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:26,2021-03-09 19:47:31,4.469s,PASSED
"switchToFrame(findTestObject(""SeeMenuAndOrder/iFrame-SeeMenuAndOrder""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:31,2021-03-09 19:47:32,1.089s,PASSED
"click(findTestObject(""SeeMenuAndOrder/Cart""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:32,2021-03-09 19:47:33,0.774s,PASSED
"waitForElementPresent(findTestObject(""SeeMenuAndOrder/AddDetails""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:33,2021-03-09 19:47:33,0.434s,PASSED
"click(findTestObject(""SeeMenuAndOrder/AddDetails""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:33,2021-03-09 19:47:34,0.350s,PASSED
"waitForElementPresent(findTestObject(""SeeMenuAndOrder/Form/Name""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:34,2021-03-09 19:47:34,0.474s,PASSED
"setText(findTestObject(""SeeMenuAndOrder/Form/Name""), Name_invalid)",Chrome 88.0.4324.190,,,2021-03-09 19:47:34,2021-03-09 19:47:35,0.721s,PASSED
"setText(findTestObject(""SeeMenuAndOrder/Form/LastName""), LastName)",Chrome 88.0.4324.190,,,2021-03-09 19:47:35,2021-03-09 19:47:35,0.540s,PASSED
"setText(findTestObject(""SeeMenuAndOrder/Form/Email""), Email)",Chrome 88.0.4324.190,,,2021-03-09 19:47:35,2021-03-09 19:47:36,0.537s,PASSED
"setText(findTestObject(""SeeMenuAndOrder/Form/Phone""), Phone)",Chrome 88.0.4324.190,,,2021-03-09 19:47:36,2021-03-09 19:47:36,0.525s,PASSED
"click(findTestObject(""SeeMenuAndOrder/Form/SaveBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:36,2021-03-09 19:47:37,0.311s,PASSED
delay(5),Chrome 88.0.4324.190,,,2021-03-09 19:47:37,2021-03-09 19:47:42,5.079s,PASSED
"click(findTestObject(""SeeMenuAndOrder/Close""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:42,2021-03-09 19:47:42,0.287s,PASSED
switchToDefaultContent(),Chrome 88.0.4324.190,,,2021-03-09 19:47:42,2021-03-09 19:47:42,0.046s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:47:42,2021-03-09 19:47:43,0.799s,PASSED
,,,,,,,
Test Cases/5.CartPersonalInfo/TC-Cart-023,Chrome 88.0.4324.190,Last name: numbers and special caracters,Last name invalid,2021-03-09 19:47:43,2021-03-09 19:48:05,21.723s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:47:44,2021-03-09 19:47:48,4.665s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:47:48,2021-03-09 19:47:49,0.323s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:47:49,2021-03-09 19:47:49,0.154s,PASSED
"click(findTestObject(""NavigationBar/SeeMenuAndOrder""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:49,2021-03-09 19:47:49,0.535s,PASSED
"waitForElementVisible(findTestObject(""SeeMenuAndOrder/iFrame-SeeMenuAndOrder""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:49,2021-03-09 19:47:52,2.993s,PASSED
"switchToFrame(findTestObject(""SeeMenuAndOrder/iFrame-SeeMenuAndOrder""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:52,2021-03-09 19:47:54,1.646s,PASSED
"click(findTestObject(""SeeMenuAndOrder/Cart""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:54,2021-03-09 19:47:55,0.758s,PASSED
"waitForElementPresent(findTestObject(""SeeMenuAndOrder/AddDetails""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:47:55,2021-03-09 19:47:55,0.360s,PASSED
"click(findTestObject(""SeeMenuAndOrder/AddDetails""))",Chrome 88.0.4324.190,,,2021-03-09 19:47:55,2021-03-09 19:47:55,0.299s,PASSED
